     2.000     1.000     2.000     0.000    -1.089     0.406     2.084 51125   1165 115005
     2.000     2.000     2.000     3.000     0.110     0.426     2.084 51126   1165 115005
     2.000     3.000     3.000     3.000     0.935     0.492     2.084 51127   1165 115005
     2.000     2.000     3.000     3.000     0.538     0.445     2.084 51128   1165 115005
     2.000     1.000     2.000     2.000    -0.556     0.417     2.084 51129   1165 115005
     2.000     3.000     2.000     2.000     0.067     0.425     1.769 51130   1117 115007
     1.000     0.000     1.000     2.000    -1.304     0.396     1.769 51131   1117 115007
     0.000     2.000     2.000     0.000    -1.231     0.413     1.769 51132   1117 115007
     2.000     2.000     3.000     2.000     0.161     0.426     1.769 51133   1117 115007
     2.000     2.000     2.000     2.000    -0.252     0.429     1.769 51134   1117 115007
     1.000     2.000     2.000     1.000    -0.798     0.406     1.769 51135   1117 115007
     2.000     2.000     2.000     2.000    -0.252     0.429     1.769 51136   1117 115007
     2.000     2.000     1.000     1.000    -0.922     0.399     1.769 51137   1117 115007
     2.000     2.000     2.000     2.000    -0.252     0.429     1.769 51138   1117 115007
     3.000     2.000     2.000     3.000     0.400     0.424     1.769 51139   1117 115007
     2.000     2.000     2.000     2.000    -0.252     0.429     1.769 51140   1117 115007
     2.000     3.000     2.000     2.000     0.067     0.425     0.421 51141   1128 115010
     1.000     1.000     1.000     0.000    -1.575     0.395     0.421 51142   1128 115010
     2.000     2.000     2.000     2.000    -0.252     0.429     0.421 51143   1128 115010
     2.000     1.000     3.000     2.000    -0.155     0.411     0.421 51144   1128 115010
     1.000     1.000     2.000     1.000    -1.048     0.396     0.421 51145   1128 115010
     2.000     3.000     3.000     2.000     0.487     0.438     0.421 51146   1128 115010
     2.000     2.000     2.000     3.000     0.110     0.426     0.421 51147   1128 115010
     2.000     1.000     2.000     1.000    -0.850     0.403     0.421 51148   1128 115010
     2.000     2.000     2.000     2.000    -0.252     0.429     0.421 51149   1128 115010
     2.000     2.000     2.000     2.000    -0.252     0.429     0.421 51150   1128 115010
     2.000     3.000     3.000     3.000     0.935     0.492     0.421 51151   1128 115010
     2.000     3.000     3.000     2.000     0.487     0.438     0.421 51152   1128 115010
     2.000     2.000     2.000     2.000    -0.252     0.429     0.421 51153   1128 115010
     2.000     3.000     2.000     2.000     0.067     0.425     0.421 51154   1128 115010
     2.000     2.000     2.000     2.000    -0.252     0.429     0.421 51155   1128 115010
     2.000     2.000     3.000     3.000     0.538     0.445     0.421 51156   1128 115010
     2.000     3.000     3.000     2.000     0.487     0.438     0.421 51157   1128 115010
     2.000     2.000     2.000     3.000     0.110     0.426     0.421 51158   1128 115010
     1.000     2.000     3.000     2.000    -0.097     0.413     0.421 51159   1128 115010
     2.000     3.000     3.000     2.000     0.487     0.438     0.421 51160   1128 115010
     2.000     2.000     1.000     2.000    -0.640     0.411     0.421 51161   1128 115010
     2.000     1.000     1.000     2.000    -0.903     0.401     0.421 51162   1128 115010
     2.000     2.000     2.000     2.000    -0.252     0.429     0.421 51163   1128 115010
     3.000     3.000     3.000     3.000     1.380     0.574     0.421 51164   1128 115010
     2.000     2.000     3.000     2.000     0.161     0.426     0.421 51165   1128 115010
     2.000     2.000     2.000     2.000    -0.252     0.429     0.421 51166   1128 115010
     2.000     3.000     3.000     2.000     0.487     0.438     0.421 51167   1128 115010
     2.000     2.000     2.000     2.000    -0.252     0.429     0.421 51168   1128 115010
     2.000     2.000     2.000     1.000    -0.581     0.415     0.421 51169   1128 115010
     1.000     2.000     2.000     1.000    -0.798     0.406     0.921 51170   1145 115011
     2.000     3.000     3.000     2.000     0.487     0.438     0.921 51171   1145 115011
     2.000     3.000     3.000     3.000     0.935     0.492     0.921 51172   1145 115011
     1.000     2.000     1.000     2.000    -0.852     0.403     0.921 51173   1145 115011
     3.000     1.000     2.000     1.000    -0.567     0.400     0.921 51174   1145 115011
     2.000     2.000     2.000     3.000     0.110     0.426     0.921 51175   1145 115011
     2.000     2.000     2.000     1.000    -0.581     0.415     0.921 51176   1145 115011
     2.000     2.000     2.000     2.000    -0.252     0.429     0.921 51177   1145 115011
     2.000     3.000     3.000     3.000     0.935     0.492     0.921 51178   1145 115011
     1.000     3.000     3.000     2.000     0.204     0.418     0.921 51179   1145 115011
     3.000     1.000     3.000     3.000     0.471     0.428     0.921 51180   1145 115011
     3.000     3.000     3.000     3.000     1.380     0.574     0.921 51181   1145 115011
     3.000     2.000     3.000     3.000     0.864     0.466     0.921 51182   1145 115011
     3.000     3.000     3.000     3.000     1.380     0.574     0.921 51183   1145 115011
     1.000     2.000     0.000     2.000    -1.142     0.404     0.921 51184   1145 115011
     3.000     2.000     2.000     2.000     0.046     0.421     0.921 51185   1145 115011
     3.000     2.000     3.000     3.000     0.864     0.466     0.921 51186   1145 115011
     1.000     2.000     1.000     1.000    -1.114     0.393     0.921 51187   1145 115011
     2.000     2.000     1.000     1.000    -0.922     0.399     0.921 51188   1145 115011
     3.000     2.000     3.000     2.000     0.452     0.428     0.921 51189   1145 115011
     2.000     2.000     2.000     1.000    -0.581     0.415     0.921 51190   1145 115011
     2.000     2.000     2.000     3.000     0.110     0.426     0.921 51191   1145 115011
     2.000     2.000     2.000     1.000    -0.581     0.415     0.921 51192   1145 115011
     2.000     1.000     2.000     2.000    -0.556     0.417     0.921 51195   1145 115011
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51196   1125 115013
     2.000     2.000     2.000     1.000    -0.581     0.415     0.339 51197   1125 115013
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51198   1125 115013
     2.000     2.000     2.000     2.000    -0.252     0.429     0.339 51199   1125 115013
     0.000     2.000     0.000     0.000    -1.880     0.431     0.339 51200   1125 115013
     0.000     0.000     0.000     0.000    -2.465     0.491     0.339 51202   1125 115013
